agency_code,class_code,distance,time,price
1,1,597.61,1.55,1190.94
1,1,597.61,1.55,1381.55
0,1,257.81,0.67,893.65
0,1,257.81,0.67,742.94
0,2,676.56,1.76,1346.6
0,2,676.56,1.76,836.89
0,2,392.76,1.02,630.34
0,2,392.76,1.02,906.59
1,1,676.53,1.76,1434.38
1,1,676.53,1.76,1292.29
2,1,555.74,1.44,1181.19
2,1,555.74,1.44,1119.47
1,1,808.85,2.1,1499.93
1,1,808.85,2.1,1574.28
1,1,550.69,1.43,1433.35
1,1,550.69,1.43,1192.62
0,0,676.56,1.76,958.15
0,0,676.56,1.76,587.85
2,0,183.37,0.48,371.04
2,0,183.37,0.48,364.34
1,1,885.57,2.3,1706.89
1,1,885.57,2.3,1702.23
2,2,535.4,1.39,832.77
2,2,535.4,1.39,991.22
0,1,788.55,2.05,1484.94
0,1,788.55,2.05,1440.02
2,0,676.53,1.76,803.39
2,0,676.53,1.76,695.3
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
0,1,597.61,1.55,1183.57
0,1,597.61,1.55,1446.4
2,0,257.81,0.67,533.8
2,0,257.81,0.67,393.84
0,0,637.56,1.66,884.94
0,0,637.56,1.66,636.51
2,2,183.37,0.48,440.69
2,2,183.37,0.48,435.67
2,2,597.61,1.55,930.12
2,2,597.61,1.55,1098.93
0,2,788.55,2.05,1242.65
0,2,788.55,2.05,1016.53
2,0,637.56,1.66,889.07
2,0,637.56,1.66,555.01
0,2,277.7,0.72,831.7
0,2,277.7,0.72,661.32
0,1,392.76,1.02,730.43
0,1,392.76,1.02,1186.15
2,1,676.53,1.76,1371.83
2,1,676.53,1.76,1175.62
2,1,425.98,1.11,959.29
2,1,425.98,1.11,1214.82
0,2,555.74,1.44,932.84
0,2,555.74,1.44,835.21
0,2,257.81,0.67,698.1
0,2,257.81,0.67,602.12
0,1,830.86,2.16,1684.05
0,1,830.86,2.16,1531.92
2,1,425.98,1.11,1214.82
2,1,425.98,1.11,959.29
0,0,176.33,0.46,332.1
0,0,176.33,0.46,361.68
0,1,830.86,2.16,1684.05
0,1,830.86,2.16,1531.92
2,1,550.69,1.43,1434.91
2,1,550.69,1.43,1286.63
0,1,788.55,2.05,1484.94
0,1,788.55,2.05,1440.02
0,0,597.61,1.55,717.04
0,0,597.61,1.55,796.42
1,1,885.57,2.3,1706.89
1,1,885.57,2.3,1702.23
2,0,555.74,1.44,663.23
2,0,555.74,1.44,602.49
2,1,788.55,2.05,1470.41
2,1,788.55,2.05,1440.25
2,2,486.52,1.26,670.13
2,2,486.52,1.26,1145.72
1,1,392.76,1.02,756.3
1,1,392.76,1.02,1269.73
1,1,676.56,1.76,1724.49
1,1,676.56,1.76,1020.08
2,1,555.74,1.44,1119.47
2,1,555.74,1.44,1181.19
1,1,425.98,1.11,898.04
1,1,425.98,1.11,1287.52
0,2,788.55,2.05,1242.65
0,2,788.55,2.05,1016.53
0,2,277.7,0.72,831.7
0,2,277.7,0.72,661.32
0,0,486.52,1.26,513.06
0,0,486.52,1.26,829.91
0,1,550.69,1.43,1313.76
0,1,550.69,1.43,1300.53
0,1,550.69,1.43,1313.76
0,1,550.69,1.43,1300.53
0,1,222.67,0.58,669.83
0,1,222.67,0.58,744.11
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
2,0,550.69,1.43,726.19
2,0,550.69,1.43,686.79
1,1,392.76,1.02,756.3
1,1,392.76,1.02,1269.73
2,1,676.56,1.76,1665.24
2,1,676.56,1.76,1040.84
2,1,676.56,1.76,1665.24
2,1,676.56,1.76,1040.84
2,1,242.21,0.63,721.93
2,1,242.21,0.63,772.21
2,2,392.76,1.02,588.14
2,2,392.76,1.02,962.54
0,1,242.21,0.63,804.24
0,1,242.21,0.63,709.25
2,0,392.76,1.02,446.73
2,0,392.76,1.02,647.9
0,2,555.74,1.44,932.84
0,2,555.74,1.44,835.21
0,2,392.76,1.02,630.34
0,2,392.76,1.02,906.59
0,0,830.86,2.16,964.83
0,0,830.86,2.16,811.73
2,2,242.21,0.63,638.63
2,2,242.21,0.63,559.13
0,0,637.56,1.66,884.94
0,0,637.56,1.66,636.51
1,1,392.76,1.02,756.3
1,1,392.76,1.02,1269.73
0,1,597.61,1.55,1183.57
0,1,597.61,1.55,1446.4
2,2,176.33,0.46,427.25
2,2,176.33,0.46,479.37
1,1,550.69,1.43,1433.35
1,1,550.69,1.43,1192.62
0,0,176.33,0.46,332.1
0,0,176.33,0.46,361.68
0,1,486.52,1.26,883.63
0,1,486.52,1.26,1533.42
0,0,183.37,0.48,344.26
0,0,183.37,0.48,369.57
2,0,650.1,1.69,743.54
2,0,650.1,1.69,877.56
2,0,676.56,1.76,921.08
2,0,676.56,1.76,609.83
2,0,392.76,1.02,446.73
2,0,392.76,1.02,647.9
0,0,222.67,0.58,301.51
0,0,222.67,0.58,429.77
0,0,425.98,1.11,654.88
0,0,425.98,1.11,472.72
0,1,257.81,0.67,893.65
0,1,257.81,0.67,742.94
2,2,176.33,0.46,427.25
2,2,176.33,0.46,479.37
0,1,242.21,0.63,804.24
0,1,242.21,0.63,709.25
0,1,650.1,1.69,1389.37
0,1,650.1,1.69,1581.8
0,2,788.55,2.05,1242.65
0,2,788.55,2.05,1016.53
2,1,555.74,1.44,1181.19
2,1,555.74,1.44,1119.47
0,2,257.81,0.67,698.1
0,2,257.81,0.67,602.12
2,0,425.98,1.11,548.62
2,0,425.98,1.11,721.2
0,1,242.21,0.63,709.25
0,1,242.21,0.63,804.24
2,1,885.57,2.3,1611.14
2,1,885.57,2.3,1617.81
2,0,650.1,1.69,743.54
2,0,650.1,1.69,877.56
2,0,555.74,1.44,602.49
2,0,555.74,1.44,663.23
0,1,597.61,1.55,1183.57
0,1,597.61,1.55,1446.4
2,1,830.86,2.16,1723.71
2,1,830.86,2.16,1520.02
2,0,257.81,0.67,533.8
2,0,257.81,0.67,393.84
2,2,637.56,1.66,1222.24
2,2,637.56,1.66,814.55
0,2,808.85,2.1,1174.97
0,2,808.85,2.1,1149.53
0,0,222.67,0.58,301.51
0,0,222.67,0.58,429.77
2,1,555.74,1.44,1181.19
2,1,555.74,1.44,1119.47
0,2,535.4,1.39,793.15
0,2,535.4,1.39,959.91
2,1,425.98,1.11,1214.82
2,1,425.98,1.11,959.29
0,2,535.4,1.39,793.15
0,2,535.4,1.39,959.91
0,0,183.37,0.48,344.26
0,0,183.37,0.48,369.57
2,1,183.37,0.48,586.04
2,1,183.37,0.48,687.25
2,2,788.55,2.05,1249.83
2,2,788.55,2.05,1103.23
2,1,830.86,2.16,1723.71
2,1,830.86,2.16,1520.02
0,1,176.33,0.46,598.61
0,1,176.33,0.46,576.66
1,1,555.74,1.44,1088.87
1,1,555.74,1.44,1300.81
0,0,885.57,2.3,910.7
0,0,885.57,2.3,952.83
0,0,597.61,1.55,717.04
0,0,597.61,1.55,796.42
2,2,808.85,2.1,1132.81
2,2,808.85,2.1,1248.7
2,1,676.53,1.76,1371.83
2,1,676.53,1.76,1175.62
2,0,597.61,1.55,712.64
2,0,597.61,1.55,734.09
0,2,550.69,1.43,1067.3
0,2,550.69,1.43,898.46
0,0,830.86,2.16,964.83
0,0,830.86,2.16,811.73
0,1,676.56,1.76,1685.23
0,1,676.56,1.76,1032.4
2,2,425.98,1.11,706.36
2,2,425.98,1.11,965.62
0,2,637.56,1.66,1189.32
0,2,637.56,1.66,885.37
2,0,808.85,2.1,852.18
2,0,808.85,2.1,819.41
0,2,637.56,1.66,1189.32
0,2,637.56,1.66,885.37
2,2,676.56,1.76,1268.97
2,2,676.56,1.76,882.86
0,0,676.56,1.76,958.15
0,0,676.56,1.76,587.85
0,0,885.57,2.3,910.7
0,0,885.57,2.3,952.83
2,1,222.67,0.58,628.96
2,1,222.67,0.58,806.91
2,1,425.98,1.11,1214.82
2,1,425.98,1.11,959.29
0,0,597.61,1.55,717.04
0,0,597.61,1.55,796.42
2,1,676.56,1.76,1665.24
2,1,676.56,1.76,1040.84
0,2,650.1,1.69,1021.53
0,2,650.1,1.69,1215.45
0,0,550.69,1.43,791.66
0,0,550.69,1.43,697.51
0,2,242.21,0.63,573.61
0,2,242.21,0.63,568.38
1,1,242.21,0.63,697.22
1,1,242.21,0.63,691.39
1,1,242.21,0.63,691.39
1,1,242.21,0.63,697.22
0,0,176.33,0.46,332.1
0,0,176.33,0.46,361.68
2,1,650.1,1.69,1387.89
2,1,650.1,1.69,1545.78
0,0,535.4,1.39,563.71
0,0,535.4,1.39,659.43
2,2,885.57,2.3,1351.89
2,2,885.57,2.3,1306.26
2,2,676.53,1.76,1070.54
2,2,676.53,1.76,1013.4
0,1,676.53,1.76,1354.53
0,1,676.53,1.76,1300.6
2,0,830.86,2.16,943.36
2,0,830.86,2.16,826.02
1,1,222.67,0.58,633.71
1,1,222.67,0.58,694.42
0,0,550.69,1.43,791.66
0,0,550.69,1.43,697.51
1,1,257.81,0.67,904.0
1,1,257.81,0.67,727.31
1,1,222.67,0.58,633.71
1,1,222.67,0.58,694.42
1,1,257.81,0.67,904.0
1,1,257.81,0.67,727.31
2,2,392.76,1.02,588.14
2,2,392.76,1.02,962.54
1,1,555.74,1.44,1300.81
1,1,555.74,1.44,1088.87
2,0,676.53,1.76,803.39
2,0,676.53,1.76,695.3
2,2,535.4,1.39,832.77
2,2,535.4,1.39,991.22
0,1,597.61,1.55,1183.57
0,1,597.61,1.55,1446.4
0,0,176.33,0.46,332.1
0,0,176.33,0.46,361.68
2,0,222.67,0.58,360.22
2,0,222.67,0.58,406.36
2,2,425.98,1.11,965.62
2,2,425.98,1.11,706.36
0,1,788.55,2.05,1484.94
0,1,788.55,2.05,1440.02
2,1,242.21,0.63,772.21
2,1,242.21,0.63,721.93
2,2,650.1,1.69,1116.83
2,2,650.1,1.69,1146.95
0,2,885.57,2.3,1270.03
0,2,885.57,2.3,1333.52
0,1,257.81,0.67,893.65
0,1,257.81,0.67,742.94
2,1,242.21,0.63,721.93
2,1,242.21,0.63,772.21
0,0,425.98,1.11,472.72
0,0,425.98,1.11,654.88
0,0,535.4,1.39,563.71
0,0,535.4,1.39,659.43
2,0,425.98,1.11,548.62
2,0,425.98,1.11,721.2
0,2,555.74,1.44,932.84
0,2,555.74,1.44,835.21
2,2,257.81,0.67,750.0
2,2,257.81,0.67,586.06
2,1,830.86,2.16,1723.71
2,1,830.86,2.16,1520.02
2,1,550.69,1.43,1434.91
2,1,550.69,1.43,1286.63
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
0,0,637.56,1.66,884.94
0,0,637.56,1.66,636.51
2,1,257.81,0.67,992.17
2,1,257.81,0.67,824.31
0,1,535.4,1.39,1110.76
0,1,535.4,1.39,1244.73
1,1,788.55,2.05,1596.61
1,1,788.55,2.05,1348.04
2,2,425.98,1.11,965.62
2,2,425.98,1.11,706.36
2,2,637.56,1.66,1222.24
2,2,637.56,1.66,814.55
2,0,392.76,1.02,446.73
2,0,392.76,1.02,647.9
2,0,425.98,1.11,548.62
2,0,425.98,1.11,721.2
2,0,885.57,2.3,908.93
2,0,885.57,2.3,932.59
2,1,808.85,2.1,1582.41
2,1,808.85,2.1,1582.1
2,0,183.37,0.48,371.04
2,0,183.37,0.48,364.34
0,2,425.98,1.11,755.62
0,2,425.98,1.11,987.07
0,2,830.86,2.16,1288.79
0,2,830.86,2.16,1209.04
1,1,183.37,0.48,539.39
1,1,183.37,0.48,591.19
0,1,830.86,2.16,1684.05
0,1,830.86,2.16,1531.92
2,2,885.57,2.3,1351.89
2,2,885.57,2.3,1306.26
2,2,242.21,0.63,638.63
2,2,242.21,0.63,559.13
0,1,425.98,1.11,957.68
0,1,425.98,1.11,1260.1
2,2,486.52,1.26,670.13
2,2,486.52,1.26,1145.72
2,0,555.74,1.44,663.23
2,0,555.74,1.44,602.49
2,2,183.37,0.48,440.69
2,2,183.37,0.48,435.67
2,0,676.56,1.76,921.08
2,0,676.56,1.76,609.83
0,0,555.74,1.44,604.14
0,0,555.74,1.44,684.88
2,2,425.98,1.11,706.36
2,2,425.98,1.11,965.62
2,1,788.55,2.05,1470.41
2,1,788.55,2.05,1440.25
2,0,242.21,0.63,421.2
2,0,242.21,0.63,439.38
0,1,486.52,1.26,883.63
0,1,486.52,1.26,1533.42
2,0,637.56,1.66,889.07
2,0,637.56,1.66,555.01
2,1,597.61,1.55,1189.86
2,1,597.61,1.55,1386.46
2,0,830.86,2.16,943.36
2,0,830.86,2.16,826.02
0,0,183.37,0.48,344.26
0,0,183.37,0.48,369.57
1,1,885.57,2.3,1706.89
1,1,885.57,2.3,1702.23
0,2,425.98,1.11,755.62
0,2,425.98,1.11,987.07
0,2,550.69,1.43,1067.3
0,2,550.69,1.43,898.46
0,1,555.74,1.44,1166.1
0,1,555.74,1.44,1124.11
0,1,637.56,1.66,1487.52
0,1,637.56,1.66,1127.36
0,2,183.37,0.48,457.95
0,2,183.37,0.48,503.26
2,0,277.7,0.72,629.54
2,0,277.7,0.72,517.82
2,0,808.85,2.1,852.18
2,0,808.85,2.1,819.41
1,1,808.85,2.1,1499.93
1,1,808.85,2.1,1574.28
2,0,392.76,1.02,446.73
2,0,392.76,1.02,647.9
1,1,637.56,1.66,1569.65
1,1,637.56,1.66,1097.17
1,1,597.61,1.55,1190.94
1,1,597.61,1.55,1381.55
2,0,637.56,1.66,889.07
2,0,637.56,1.66,555.01
2,0,550.69,1.43,726.19
2,0,550.69,1.43,686.79
0,1,788.55,2.05,1484.94
0,1,788.55,2.05,1440.02
2,2,676.53,1.76,1070.54
2,2,676.53,1.76,1013.4
1,1,676.53,1.76,1434.38
1,1,676.53,1.76,1292.29
2,0,242.21,0.63,439.38
2,0,242.21,0.63,421.2
0,2,676.53,1.76,1074.75
0,2,676.53,1.76,918.66
2,1,676.56,1.76,1665.24
2,1,676.56,1.76,1040.84
0,1,597.61,1.55,1183.57
0,1,597.61,1.55,1446.4
2,0,555.74,1.44,602.49
2,0,555.74,1.44,663.23
0,0,637.56,1.66,884.94
0,0,637.56,1.66,636.51
0,0,242.21,0.63,432.1
0,0,242.21,0.63,393.68
2,1,222.67,0.58,628.96
2,1,222.67,0.58,806.91
0,2,535.4,1.39,793.15
0,2,535.4,1.39,959.91
0,2,183.37,0.48,457.95
0,2,183.37,0.48,503.26
2,2,650.1,1.69,1116.83
2,2,650.1,1.69,1146.95
0,1,676.53,1.76,1354.53
0,1,676.53,1.76,1300.6
0,0,676.53,1.76,761.2
0,0,676.53,1.76,674.52
0,0,277.7,0.72,583.6
0,0,277.7,0.72,506.56
0,0,277.7,0.72,583.6
0,0,277.7,0.72,506.56
1,1,808.85,2.1,1499.93
1,1,808.85,2.1,1574.28
0,2,392.76,1.02,630.34
0,2,392.76,1.02,906.59
1,1,555.74,1.44,1088.87
1,1,555.74,1.44,1300.81
2,1,885.57,2.3,1611.14
2,1,885.57,2.3,1617.81
1,1,550.69,1.43,1433.35
1,1,550.69,1.43,1192.62
2,0,183.37,0.48,371.04
2,0,183.37,0.48,364.34
0,0,597.61,1.55,717.04
0,0,597.61,1.55,796.42
2,1,637.56,1.66,1576.97
2,1,637.56,1.66,1087.18
2,2,277.7,0.72,851.15
2,2,277.7,0.72,691.99
2,1,535.4,1.39,1069.12
2,1,535.4,1.39,1185.95
2,1,535.4,1.39,1069.12
2,1,535.4,1.39,1185.95
0,1,535.4,1.39,1110.76
0,1,535.4,1.39,1244.73
0,1,425.98,1.11,957.68
0,1,425.98,1.11,1260.1
0,2,425.98,1.11,987.07
0,2,425.98,1.11,755.62
2,1,183.37,0.48,586.04
2,1,183.37,0.48,687.25
0,1,242.21,0.63,709.25
0,1,242.21,0.63,804.24
2,2,242.21,0.63,638.63
2,2,242.21,0.63,559.13
2,2,830.86,2.16,1289.05
2,2,830.86,2.16,1247.02
2,2,425.98,1.11,706.36
2,2,425.98,1.11,965.62
0,1,392.76,1.02,730.43
0,1,392.76,1.02,1186.15
2,0,550.69,1.43,726.19
2,0,550.69,1.43,686.79
2,0,277.7,0.72,629.54
2,0,277.7,0.72,517.82
2,2,392.76,1.02,588.14
2,2,392.76,1.02,962.54
1,1,183.37,0.48,539.39
1,1,183.37,0.48,591.19
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
0,1,222.67,0.58,669.83
0,1,222.67,0.58,744.11
2,0,555.74,1.44,602.49
2,0,555.74,1.44,663.23
2,2,277.7,0.72,851.15
2,2,277.7,0.72,691.99
2,2,486.52,1.26,670.13
2,2,486.52,1.26,1145.72
2,1,486.52,1.26,980.83
2,1,486.52,1.26,1573.5
0,0,808.85,2.1,869.13
0,0,808.85,2.1,879.1
0,1,650.1,1.69,1389.37
0,1,650.1,1.69,1581.8
1,1,242.21,0.63,691.39
1,1,242.21,0.63,697.22
2,2,637.56,1.66,1222.24
2,2,637.56,1.66,814.55
0,0,808.85,2.1,869.13
0,0,808.85,2.1,879.1
2,1,535.4,1.39,1069.12
2,1,535.4,1.39,1185.95
2,0,676.56,1.76,921.08
2,0,676.56,1.76,609.83
1,1,808.85,2.1,1499.93
1,1,808.85,2.1,1574.28
2,1,550.69,1.43,1434.91
2,1,550.69,1.43,1286.63
0,1,425.98,1.11,1260.1
0,1,425.98,1.11,957.68
0,1,222.67,0.58,669.83
0,1,222.67,0.58,744.11
0,2,555.74,1.44,835.21
0,2,555.74,1.44,932.84
2,1,637.56,1.66,1576.97
2,1,637.56,1.66,1087.18
0,2,425.98,1.11,755.62
0,2,425.98,1.11,987.07
0,0,486.52,1.26,513.06
0,0,486.52,1.26,829.91
2,2,676.56,1.76,1268.97
2,2,676.56,1.76,882.86
0,2,650.1,1.69,1021.53
0,2,650.1,1.69,1215.45
0,1,222.67,0.58,669.83
0,1,222.67,0.58,744.11
2,1,650.1,1.69,1387.89
2,1,650.1,1.69,1545.78
2,2,257.81,0.67,750.0
2,2,257.81,0.67,586.06
0,0,222.67,0.58,301.51
0,0,222.67,0.58,429.77
0,2,808.85,2.1,1174.97
0,2,808.85,2.1,1149.53
0,2,176.33,0.46,535.95
0,2,176.33,0.46,451.41
0,1,676.53,1.76,1354.53
0,1,676.53,1.76,1300.6
0,2,550.69,1.43,1067.3
0,2,550.69,1.43,898.46
0,1,885.57,2.3,1612.39
0,1,885.57,2.3,1664.01
0,0,392.76,1.02,410.79
0,0,392.76,1.02,722.74
0,2,277.7,0.72,831.7
0,2,277.7,0.72,661.32
1,1,425.98,1.11,898.04
1,1,425.98,1.11,1287.52
0,2,555.74,1.44,932.84
0,2,555.74,1.44,835.21
0,2,885.57,2.3,1270.03
0,2,885.57,2.3,1333.52
2,0,535.4,1.39,615.59
2,0,535.4,1.39,674.16
0,1,830.86,2.16,1684.05
0,1,830.86,2.16,1531.92
2,0,788.55,2.05,861.68
2,0,788.55,2.05,751.37
2,0,242.21,0.63,439.38
2,0,242.21,0.63,421.2
0,0,676.56,1.76,958.15
0,0,676.56,1.76,587.85
0,1,222.67,0.58,669.83
0,1,222.67,0.58,744.11
0,1,176.33,0.46,598.61
0,1,176.33,0.46,576.66
1,1,676.53,1.76,1434.38
1,1,676.53,1.76,1292.29
0,0,242.21,0.63,393.68
0,0,242.21,0.63,432.1
0,1,183.37,0.48,649.64
0,1,183.37,0.48,688.06
0,0,555.74,1.44,684.88
0,0,555.74,1.44,604.14
1,1,425.98,1.11,898.04
1,1,425.98,1.11,1287.52
2,1,676.53,1.76,1371.83
2,1,676.53,1.76,1175.62
2,2,242.21,0.63,638.63
2,2,242.21,0.63,559.13
2,1,676.53,1.76,1371.83
2,1,676.53,1.76,1175.62
2,2,676.53,1.76,1070.54
2,2,676.53,1.76,1013.4
2,1,550.69,1.43,1434.91
2,1,550.69,1.43,1286.63
2,0,183.37,0.48,371.04
2,0,183.37,0.48,364.34
0,0,257.81,0.67,538.95
0,0,257.81,0.67,389.47
1,1,676.56,1.76,1724.49
1,1,676.56,1.76,1020.08
2,2,676.53,1.76,1070.54
2,2,676.53,1.76,1013.4
0,0,597.61,1.55,717.04
0,0,597.61,1.55,796.42
2,0,425.98,1.11,721.2
2,0,425.98,1.11,548.62
2,1,486.52,1.26,980.83
2,1,486.52,1.26,1573.5
2,2,425.98,1.11,706.36
2,2,425.98,1.11,965.62
0,0,425.98,1.11,472.72
0,0,425.98,1.11,654.88
1,1,555.74,1.44,1300.81
1,1,555.74,1.44,1088.87
2,2,535.4,1.39,832.77
2,2,535.4,1.39,991.22
2,0,392.76,1.02,446.73
2,0,392.76,1.02,647.9
2,0,555.74,1.44,602.49
2,0,555.74,1.44,663.23
0,0,637.56,1.66,884.94
0,0,637.56,1.66,636.51
0,0,242.21,0.63,393.68
0,0,242.21,0.63,432.1
1,1,486.52,1.26,954.78
1,1,486.52,1.26,1464.89
2,2,183.37,0.48,440.69
2,2,183.37,0.48,435.67
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
0,1,242.21,0.63,709.25
0,1,242.21,0.63,804.24
0,0,555.74,1.44,604.14
0,0,555.74,1.44,684.88
1,1,555.74,1.44,1088.87
1,1,555.74,1.44,1300.81
2,1,650.1,1.69,1387.89
2,1,650.1,1.69,1545.78
0,2,637.56,1.66,1189.32
0,2,637.56,1.66,885.37
2,0,555.74,1.44,663.23
2,0,555.74,1.44,602.49
0,1,637.56,1.66,1487.52
0,1,637.56,1.66,1127.36
1,1,650.1,1.69,1376.09
1,1,650.1,1.69,1473.41
2,1,830.86,2.16,1723.71
2,1,830.86,2.16,1520.02
1,1,257.81,0.67,904.0
1,1,257.81,0.67,727.31
2,1,222.67,0.58,628.96
2,1,222.67,0.58,806.91
2,2,597.61,1.55,930.12
2,2,597.61,1.55,1098.93
2,1,257.81,0.67,992.17
2,1,257.81,0.67,824.31
0,0,676.56,1.76,958.15
0,0,676.56,1.76,587.85
0,2,676.56,1.76,1346.6
0,2,676.56,1.76,836.89
1,1,535.4,1.39,1038.95
1,1,535.4,1.39,1262.23
0,0,555.74,1.44,604.14
0,0,555.74,1.44,684.88
2,0,808.85,2.1,852.18
2,0,808.85,2.1,819.41
2,1,242.21,0.63,772.21
2,1,242.21,0.63,721.93
2,2,277.7,0.72,851.15
2,2,277.7,0.72,691.99
2,1,257.81,0.67,992.17
2,1,257.81,0.67,824.31
1,1,277.7,0.72,1009.71
1,1,277.7,0.72,847.83
1,1,535.4,1.39,1038.95
1,1,535.4,1.39,1262.23
1,1,808.85,2.1,1499.93
1,1,808.85,2.1,1574.28
2,2,808.85,2.1,1132.81
2,2,808.85,2.1,1248.7
2,1,425.98,1.11,1214.82
2,1,425.98,1.11,959.29
0,0,808.85,2.1,869.13
0,0,808.85,2.1,879.1
0,1,277.7,0.72,1096.58
0,1,277.7,0.72,949.99
2,1,550.69,1.43,1434.91
2,1,550.69,1.43,1286.63
2,2,676.56,1.76,1268.97
2,2,676.56,1.76,882.86
0,2,183.37,0.48,457.95
0,2,183.37,0.48,503.26
0,2,788.55,2.05,1242.65
0,2,788.55,2.05,1016.53
2,0,808.85,2.1,852.18
2,0,808.85,2.1,819.41
0,1,637.56,1.66,1487.52
0,1,637.56,1.66,1127.36
2,0,535.4,1.39,615.59
2,0,535.4,1.39,674.16
2,0,183.37,0.48,371.04
2,0,183.37,0.48,364.34
0,2,257.81,0.67,698.1
0,2,257.81,0.67,602.12
0,2,176.33,0.46,535.95
0,2,176.33,0.46,451.41
0,1,637.56,1.66,1487.52
0,1,637.56,1.66,1127.36
0,0,257.81,0.67,538.95
0,0,257.81,0.67,389.47
2,1,676.53,1.76,1371.83
2,1,676.53,1.76,1175.62
2,1,650.1,1.69,1387.89
2,1,650.1,1.69,1545.78
0,0,277.7,0.72,583.6
0,0,277.7,0.72,506.56
2,1,830.86,2.16,1723.71
2,1,830.86,2.16,1520.02
1,1,242.21,0.63,697.22
1,1,242.21,0.63,691.39
0,1,885.57,2.3,1612.39
0,1,885.57,2.3,1664.01
0,0,242.21,0.63,432.1
0,0,242.21,0.63,393.68
1,1,535.4,1.39,1038.95
1,1,535.4,1.39,1262.23
2,2,650.1,1.69,1116.83
2,2,650.1,1.69,1146.95
2,2,555.74,1.44,932.22
2,2,555.74,1.44,875.41
0,0,222.67,0.58,301.51
0,0,222.67,0.58,429.77
0,1,597.61,1.55,1183.57
0,1,597.61,1.55,1446.4
2,0,486.52,1.26,545.95
2,0,486.52,1.26,827.12
0,1,425.98,1.11,1260.1
0,1,425.98,1.11,957.68
0,0,425.98,1.11,472.72
0,0,425.98,1.11,654.88
0,2,222.67,0.58,474.6
0,2,222.67,0.58,563.23
0,0,808.85,2.1,869.13
0,0,808.85,2.1,879.1
2,2,788.55,2.05,1249.83
2,2,788.55,2.05,1103.23
0,1,830.86,2.16,1684.05
0,1,830.86,2.16,1531.92
2,2,535.4,1.39,832.77
2,2,535.4,1.39,991.22
0,0,637.56,1.66,884.94
0,0,637.56,1.66,636.51
1,1,808.85,2.1,1499.93
1,1,808.85,2.1,1574.28
2,2,637.56,1.66,1222.24
2,2,637.56,1.66,814.55
0,2,535.4,1.39,793.15
0,2,535.4,1.39,959.91
2,2,597.61,1.55,930.12
2,2,597.61,1.55,1098.93
2,1,808.85,2.1,1582.41
2,1,808.85,2.1,1582.1
2,2,222.67,0.58,488.73
2,2,222.67,0.58,579.62
2,2,555.74,1.44,875.41
2,2,555.74,1.44,932.22
0,1,650.1,1.69,1389.37
0,1,650.1,1.69,1581.8
2,2,550.69,1.43,1107.52
2,2,550.69,1.43,919.89
0,0,257.81,0.67,538.95
0,0,257.81,0.67,389.47
1,1,183.37,0.48,539.39
1,1,183.37,0.48,591.19
1,1,637.56,1.66,1569.65
1,1,637.56,1.66,1097.17
2,0,597.61,1.55,712.64
2,0,597.61,1.55,734.09
0,1,650.1,1.69,1389.37
0,1,650.1,1.69,1581.8
